word,rounds_last_met1,words_last_met1,time_last_met1,res_last_met1,rounds_last_met2,words_last_met2,time_last_met2,res_last_met2,rounds_last_met3,words_last_met3,time_last_met3,res_last_met3,rounds_last_met4,words_last_met4,time_last_met4,res_last_met4,rounds_last_met5,words_last_met5,time_last_met5,res_last_met5,res
das,15,15,671.0,True,22,15,700.0,True,55,14,1633.0,True,73,14,163393.0,True,74,14,163395.0,True,True
er,25,15,706.0,True,35,15,791.0,True,83,13,163420.0,True,91,13,163456.0,True,96,12,163476.0,False,False
und,11,15,603.0,True,90,13,163454.0,True,95,13,163469.0,True,230,100,163656.0,False,230,100,163656.0,False,True
sie,16,15,659.0,True,28,15,713.0,True,47,14,1399.0,True,53,14,1434.0,True,102,100,163506.0,True,True
ist,11,15,451.0,False,15,15,697.0,True,21,15,730.0,True,33,15,773.0,True,41,14,867.0,True,True
ist,1,15,14.0,True,12,15,465.0,False,16,15,711.0,True,22,15,744.0,True,34,15,787.0,True,True
die,9,15,70.0,True,12,15,99.0,True,14,15,474.0,False,39,14,851.0,True,74,14,163445.0,True,False
ich,17,15,708.0,True,21,15,736.0,True,46,14,1108.0,True,50,14,1457.0,True,52,14,1461.0,True,True
und,6,15,63.0,True,17,15,667.0,True,96,12,163518.0,True,101,100,163533.0,True,236,100,163719.0,False,True
nicht,11,15,73.0,True,28,15,764.0,True,35,15,778.0,True,39,14,798.0,True,40,14,846.0,True,True
nicht,1,15,2.0,True,12,15,74.0,True,29,15,765.0,True,36,15,780.0,True,40,14,799.0,True,True
was,15,15,88.0,True,32,15,771.0,True,57,14,1474.0,True,60,14,1484.0,True,69,14,1872.0,True,True
die,6,15,23.0,False,15,15,93.0,True,18,15,122.0,True,20,15,497.0,False,45,14,874.0,True,True
es,29,15,779.0,False,31,15,791.0,False,40,14,813.0,False,69,14,1819.0,True,70,14,1838.0,True,True
das,14,15,123.0,True,29,15,794.0,True,36,15,823.0,True,69,14,1756.0,True,87,13,163516.0,True,True
und,7,15,57.0,True,13,15,120.0,True,24,15,723.0,True,103,100,163574.0,True,108,100,163589.0,True,True
ein,17,15,127.0,True,21,15,149.0,True,28,15,777.0,True,39,14,828.0,True,44,14,849.0,True,True
was,6,15,54.0,True,21,15,142.0,True,38,14,825.0,True,63,14,1528.0,True,66,14,1538.0,True,True
er,17,15,129.0,False,42,14,835.0,True,52,14,921.0,True,100,100,163550.0,True,108,100,163585.0,True,False
sie,16,15,128.0,True,32,15,787.0,True,44,14,841.0,True,63,14,1527.0,True,69,14,1562.0,True,True
wir,111,100,163798.0,True,248,100,163993.0,False,248,100,163993.0,False,248,100,163993.0,False,248,100,163993.0,False,True
wir,1,15,12.0,True,112,100,163810.0,True,249,100,164005.0,False,249,100,164005.0,False,249,100,164005.0,False,True
der,42,15,1150.0,True,62,15,1498.0,True,64,15,1842.0,True,76,15,2017.0,True,82,14,2380.0,True,True
die,11,15,898.0,True,17,15,921.0,False,26,15,991.0,True,29,15,1020.0,True,31,15,1395.0,False,True
ich,17,15,921.0,True,34,15,1629.0,True,38,15,1657.0,True,63,15,2030.0,True,67,15,2379.0,True,False
es,12,15,887.0,True,41,15,1667.0,False,43,15,1678.0,False,52,15,1701.0,False,81,14,2706.0,True,False
mit,254,100,164809.0,False,254,100,164809.0,False,254,100,164809.0,False,254,100,164809.0,False,254,100,164809.0,False,False
du,59,15,1942.0,True,68,15,2218.0,True,104,100,164560.0,True,128,100,164675.0,True,136,100,164729.0,True,True
sie,9,16,1027.0,True,25,16,1155.0,True,41,16,1814.0,True,53,16,1868.0,True,72,16,2554.0,True,True
die,6,16,179.0,True,17,16,1078.0,True,23,16,1101.0,False,32,16,1170.0,True,35,16,1200.0,True,True
